ID,Name,Year Published,Min Players,Max Players,Play Time,Min Age,Users Rated,Rating Average,BGG Rank,Complexity Average,Owned Users,Mechanics
875,Roads & Boats,1999,1,4,240,14,3079,7,,,,
97786,Small World Underground,2011,2,5,90,8,9799,7,,,,
478,Citadels,2000,2,8,60,10,48360,7,,,,
171668,The Grizzled,2015,2,5,30,14,12228,7,,,,
15062,Shadows over Camelot,2005,3,7,80,10,25447,7,,,,
133848,Euphoria: Build a Better Dystopia,2013,2,6,60,13,9358,7,,,,
58421,Egizia,2009,2,4,90,12,5134,7,,,,
191862,Imhotep,2016,2,4,40,10,11784,7,,,,
20437,Lords of Vegas,2010,2,4,90,12,6546,7,,,,
128271,Ginkgopolis,2012,1,5,45,13,4991,7,,,,
43570,Friday,2011,1,1,25,13,16501,7,,,,
147949,One Night Ultimate Werewolf,2014,3,10,10,8,21482,7,,,,
193042,Junk Art,2016,2,6,30,8,5449,7,,,,
36553,Time's Up! Title Recall!,2008,4,18,60,12,3122,7,,,,
144189,Fire in the Lake,2014,1,4,180,0,2258,8,,,,
